zodiac_id,zodiac_name,element,ruling_planet,traits
3(๓),เมษ,ไฟ,อังคาร ,"ลักษณะนิสัย : กล้าหาญ, รักอิสระ, เป็นผู้นำ, ตรงไปตรงมา. จุดแข็ง : กล้าตัดสินใจ, มีพลังงานสูง, มุ่งมั่น. จุดอ่อน : ใจร้อน, หุนหันพลันแล่น, ไม่ยอมคน"
6(๖),พฤษภ,ดิน,ศุกร์ ,"ลักษณะนิสัย : สุขุม, อดทน, รักความสบาย, ยึดมั่นในหลักการ. จุดแข็ง : มั่นคง, พึ่งพาได้, มีรสนิยม, เก็บออมเก่ง. จุดอ่อน : ดื้อเงียบ, เปลี่ยนแปลงยาก, หวงของ"
4(๔),มิถุน,ลม,พุธ ,"ลักษณะนิสัย : ฉลาด, ช่างพูด, ปรับตัวเก่ง, อยากรู้อยากเห็น. จุดแข็ง : มีวาทศิลป์, เรียนรู้เร็ว, เข้าสังคมเก่ง. จุดอ่อน : ขี้เบื่อ, เปลี่ยนใจง่าย, ขาดความต่อเนื่อง"
2(๒),กรกฎ,น้ำ,จันทร์ ,"ลักษณะนิสัย : อ่อนไหว, รักครอบครัว, ชอบดูแล, ช่างจินตนาการ. จุดแข็ง : เห็นอกเห็นใจ, ใส่ใจรายละเอียด, ปกป้องคนรัก. จุดอ่อน : อารมณ์แปรปรวน, ขี้น้อยใจ, ยึดติดกับอดีต"
1(๑),สิงห์,ไฟ,อาทิตย์ ,"ลักษณะนิสัย : มีความเป็นผู้นำ, รักศักดิ์ศรี, ใจกว้าง, ชอบเป็นจุดสนใจ. จุดแข็ง : มีความคิดสร้างสรรค์, กล้าแสดงออก, มีเสน่ห์. จุดอ่อน : อีโก้สูง, ชอบควบคุม, ไม่ชอบการวิจารณ์"
4(๔),กันย์,ดิน,พุธ ,"ลักษณะนิสัย : เจ้าระเบียบ, ช่างวิเคราะห์, ใส่ใจสุขภาพ, ชอบช่วยเหลือ. จุดแข็ง : ละเอียดรอบคอบ, มีระบบ, พึ่งพาได้. จุดอ่อน : จู้จี้ขี้บ่น, วิตกกังวล, วิจารณ์ตนเองและผู้อื่น"
6(๖),ตุลย์,ลม,ศุกร์ ,"ลักษณะนิสัย : รักความยุติธรรม, มีเสน่ห์, ชอบเข้าสังคม, ตัดสินใจรอบคอบ. จุดแข็ง : มีทักษะการเจรจา, สร้างสมดุลเก่ง, มีรสนิยม. จุดอ่อน : ลังเล, ตัดสินใจยาก, ตามใจคนอื่นมากไป"
3(๓),พิจิก,น้ำ,อังคาร ,"ลักษณะนิสัย : ลึกลับ, จริงจัง, มีพลังดึงดูด, ไม่ยอมแพ้. จุดแข็ง : มุ่งมั่น, มีสัญชาตญาณดี, รักใครรักจริง. จุดอ่อน : ขี้ระแวง, เจ้าคิดเจ้าแค้น, หึงหวงรุนแรง"
5(๕),ธนู,ไฟ,พฤหัสบดี ,"ลักษณะนิสัย : มองโลกในแง่ดี, รักอิสระ, ชอบผจญภัย, ใฝ่หาความรู้. จุดแข็ง : กระตือรือร้น, มีเป้าหมายชัดเจน, ใจกว้าง. จุดอ่อน : ใจร้อน, ขาดความอดทน, พูดตรงเกินไป"
7(๗),มังกร,ดิน,เสาร์ ,"ลักษณะนิสัย : มีความรับผิดชอบสูง, ทะเยอทะยาน, อดทน, จริงจัง. จุดแข็ง : วางแผนเก่ง, มุ่งมั่นในเป้าหมาย, มีวินัย. จุดอ่อน : เคร่งเครียด, ไม่ยืดหยุ่น, เก็บความรู้สึก"
8(๘),กุมภ์,ลม,ราหู,"ลักษณะนิสัย : เป็นตัวของตัวเอง, นักคิด, ชอบช่วยเหลือสังคม, รักอิสระ. จุดแข็ง : มีความคิดสร้างสรรค์, มองการณ์ไกล, มีมนุษยธรรม. จุดอ่อน : โลกส่วนตัวสูง, คาดเดายาก, ไม่ชอบอยู่ในกรอบ"
7(๗),กุมภ์,ลม,เสาร์ ,"ลักษณะนิสัย : เป็นตัวของตัวเอง, นักคิด, ชอบช่วยเหลือสังคม, รักอิสระ. จุดแข็ง : มีความคิดสร้างสรรค์, มองการณ์ไกล, มีมนุษยธรรม. จุดอ่อน : โลกส่วนตัวสูง, คาดเดายาก, ไม่ชอบอยู่ในกรอบ"
5(๕),มีน,น้ำ,พฤหัสบดี ,"ลักษณะนิสัย : ช่างฝัน, มีเมตตา, อ่อนไหว, มีจินตนาการสูง. จุดแข็ง : เห็นอกเห็นใจผู้อื่น, มีสัญชาตญาณดี, มีความคิดสร้างสรรค์. จุดอ่อน : โลเล, ไม่ค่อยอยู่กับความเป็นจริง, ถูกชักจูงง่าย"
