relation_type (A),planet_pair_ids (B),planet_pair_names (C),influence (D)
คู่มิตร,'1-5,อาทิตย์-พฤหัส,"ส่งเสริมเกียรติยศ, ปัญญา, และการสนับสนุนจากผู้ใหญ่"
คู่มิตร,'2-4,จันทร์-พุธ,"ส่งเสริมเสน่ห์, วาทศิลป์, และการเจรจาต่อรอง"
คู่มิตร,'3-6,อังคาร-ศุกร์,"ส่งเสริมพลังขับเคลื่อน, ความรัก, และเสน่ห์ดึงดูด"
คู่มิตร,'7-8,เสาร์-ราหู,"ส่งเสริมอำนาจ, ความกล้าหาญ, และอิทธิพลในวงกว้าง"
คู่ศัตรู,'1-3,อาทิตย์-อังคาร,"สร้างความขัดแย้ง, การแข่งขัน, และอุบัติเหตุ"
คู่ศัตรู,'4-8,พุธ-ราหู,"สร้างปัญหาด้านเอกสาร, การสื่อสารผิดพลาด, การถูกหลอกลวง"
คู่ศัตรู,'6-7,ศุกร์-เสาร์,"สร้างความผิดหวังในความรัก, ปัญหาการเงินที่ล่าช้า"
คู่ศัตรู,'2-5,จันทร์-พฤหัส,สร้างความขัดแย้งทางความคิดระหว่างผู้ใหญ่กับผู้น้อย
คู่ธาตุ,'1-7,อาทิตย์-เสาร์,"ธาตุไฟ: พลังงาน, ความทะเยอทะยาน, ความร้อนรน"
คู่ธาตุ,'2-5,จันทร์-พฤหัส,"ธาตุดิน: ความมั่นคง, หลักทรัพย์, ความหนักแน่น"
คู่ธาตุ,'3-8,อังคาร-ราหู,"ธาตุลม: การเปลี่ยนแปลง, การเดินทาง, ความไม่แน่นอน"
คู่ธาตุ,'4-6,พุธ-ศุกร์,"ธาตุน้ำ: อารมณ์, ความรัก, ศิลปะ, การปรับตัว"
คู่สมพล,'1-6,อาทิตย์-ศุกร์,"ส่งเสริมอำนาจวาสนา, ความสำเร็จในตำแหน่งหน้าที่"
คู่สมพล,'2-8,จันทร์-ราหู,"ส่งเสริมอิทธิพลต่อมหาชน, การเดินทางไกล"
คู่สมพล,'3-5,อังคาร-พฤหัส,"ส่งเสริมความกล้าหาญที่มาพร้อมกับสติปัญญา, ชัยชนะ"
คู่สมพล,'4-7,พุธ-เสาร์,"ส่งเสริมความรอบคอบ, ความสำเร็จที่เกิดจากความพากเพียร"
