planet_id,planet_name,interpretation
1,อาทิตย์,พลังแห่งความเป็นผู้นำ ศักดิ์ศรี ความเชื่อมั่นในตนเอง และความทะเยอทะยาน 11
2,จันทร์,ความอ่อนโยน จินตนาการ การดูแลเอาใจใส่ ความผูกพันกับครอบครัว และอารมณ์ความรู้สึก 22
3,อังคาร,ความกล้าหาญ ความขยันขันแข็ง การต่อสู้ การตัดสินใจที่เด็ดขาด และความตรงไปตรงมา 3333
4,พุธ,สติปัญญา การสื่อสาร การเจรจา ไหวพริบปฏิภาณ และความสามารถในการปรับตัว 44
5,พฤหัสบดี,ปัญญาบริสุทธิ์ คุณธรรม โชคลาภ ความสำเร็จ การมองโลกในแง่ดี และศาสนา 55
6,ศุกร์,ความรัก ศิลปะ ความสวยงาม เสน่ห์ ความสุขสมหวัง และความสะดวกสบาย 6666
7,เสาร์,ความอดทน ความรับผิดชอบ การแบกรับภาระ ความวิตกกังวล และความหนักแน่นมั่นคง 7777
8,ราหู,ความลุ่มหลง มัวเมา ความเปลี่ยนแปลง การกล้าได้กล้าเสีย และไหวพริบในการเอาตัวรอด 88
9,เกตุ,จิตวิญญาณ ญาณหยั่งรู้ สิ่งศักดิ์สิทธิ์คุ้มครอง ความแปลกประหลาด และสัมผัสที่หก (อ้างอิงตามหลักโหราศาสตร์ไทย)
0,มฤตยู,การเปลี่ยนแปลงกะทันหัน ภัยอาเพศ ความตาย (การจบสิ้นเพื่อเริ่มใหม่) และศาสตร์ลึกลับ (อ้างอิงตามหลักโหราศาสตร์ไทย)
