energy_id,energy_name,meaning,context_keywords,note
123,การเริ่มต้นที่นำไปสู่ความร่วมมือและการแสดงออก: การริเริ่มสิ่งใหม่ๆ ที่ต้องอาศัยการทำงานร่วมกับผู้อื่นและมีการสื่อสารที่ดี,"โครงการใหม่ที่ต้องการการประสานงาน, การเริ่มต้นธุรกิจที่เน้นการตลาดและการประชาสัมพันธ์",อาจต้องระวังเรื่องความขัดแย้งในการสื่อสารช่วงแรก,"อาจมีความไม่แน่นอน, ขาดทิศทางในช่วงแรก"
321,การแสดงออกที่นำไปสู่ความร่วมมือและการเป็นผู้นำ: การใช้ความคิดสร้างสรรค์และการสื่อสารเพื่อสร้างความร่วมมือและก้าวขึ้นเป็นผู้นำ,"การนำเสนอผลงานที่ต้องอาศัยการทำงานเป็นทีม, การเป็นผู้นำที่เน้นการสร้างแรงบันดาลใจ",อาจต้องระวังเรื่องการควบคุมอารมณ์และการตัดสินใจที่รวดเร็วเกินไป,"อาจมีความกดดันสูง, ต้องรับผิดชอบความคิดตนเอง"
456,ความมั่นคงที่นำไปสู่การเปลี่ยนแปลงและความรับผิดชอบ: การสร้างรากฐานที่แข็งแกร่งเพื่อรองรับการเปลี่ยนแปลง และต้องมีความรับผิดชอบสูง,"การปรับโครงสร้างองค์กร, การย้ายถิ่นฐานเพื่อสร้างครอบครัวใหม่, การลงทุนในอสังหาริมทรัพย์","อาจมีความท้าทายในการปรับตัว, ต้องใช้ความอดทนและวินัย","อาจมีความลังเล, พึ่งพาผู้อื่นมากเกินไป"
789,การค้นคว้าที่นำไปสู่ความสำเร็จและมนุษยธรรม: การศึกษาค้นคว้าอย่างลึกซึ้งที่นำไปสู่ความสำเร็จทางการเงินและธุรกิจ และมีการแบ่งปันเพื่อสังคม,"การวิจัยและพัฒนาผลิตภัณฑ์ใหม่, การลงทุนในธุรกิจที่สร้างประโยชน์ต่อส่วนรวม, การเป็นผู้เชี่ยวชาญ","อาจต้องระวังเรื่องความโลภ, การเก็บตัวมากเกินไป","อาจฟุ่มเฟือย, ไม่จริงจัง, แบกรับภาระผู้อื่น"
000,"ศักยภาพที่ไร้ขีดจำกัด, ความว่างเปล่าที่เต็มไปด้วยโอกาส: การเริ่มต้นจากศูนย์, การกลับสู่จุดเริ่มต้น, การเตรียมพร้อมสำหรับสิ่งใหม่","โอกาสในการเริ่มต้นใหม่ทั้งหมด, การปลดปล่อยจากอดีต, การค้นพบศักยภาพที่ซ่อนอยู่","อาจมีความไม่แน่นอน, การขาดทิศทางในช่วงแรก","อาจดื้อรั้น, ขาดความยืดหยุ่น, ทำงานหนักเกินไป"
111,"การตื่นรู้, การเริ่มต้นใหม่ทางจิตวิญญาณ, การปรากฏตัวของความคิด: สัญญาณจากจักรวาล, การยืนยันว่าความคิดกำลังจะกลายเป็นจริง","การเริ่มต้นโครงการใหม่ที่สอดคล้องกับจิตวิญญาณ, การตระหนักรู้ในตนเอง, การเปลี่ยนแปลงครั้งใหญ่","อาจมีความกดดันจากพลังงานที่สูง, การต้องรับผิดชอบต่อความคิดของตนเอง","ความไม่แน่นอนสูง, ขาดความรับผิดชอบ, เสี่ยงเกินไป"
222,"ความสมดุล, ความร่วมมือ, การสร้างสรรค์: การสร้างความสมดุลในชีวิต, การทำงานร่วมกับผู้อื่น, การทำให้ความฝันเป็นจริง","การสร้างความสัมพันธ์ที่มั่นคง, การร่วมมือในโครงการต่างๆ, การสร้างสรรค์ผลงานศิลปะ","อาจมีความลังเล, การพึ่งพาผู้อื่นมากเกินไป","ความกดดันสูง, วิตกกังวล, แบกรับภาระมากไป"
333,"การแสดงออกที่สมบูรณ์, ความคิดสร้างสรรค์ที่ไร้ขีดจำกัด, การเยียวยา: การปลดปล่อยพลังงานสร้างสรรค์, การสื่อสารเพื่อเยียวยา, การเป็นผู้ให้แสงสว่าง","การสร้างสรรค์ผลงานศิลปะที่ยิ่งใหญ่, การเป็นผู้ให้คำปรึกษา, การบำบัดรักษา","อาจฟุ่มเฟือย, ไม่จริงจัง, การแบกรับภาระผู้อื่นมากเกินไป","เก็บตัวมากเกินไป, โดดเดี่ยว, สูญเสียความสัมพันธ์"
444,"ความมั่นคงที่แข็งแกร่ง, การสร้างรากฐานที่ยิ่งใหญ่, การปกป้อง: การสร้างรากฐานที่มั่นคง, การได้รับความคุ้มครอง, การทำงานหนักเพื่อความสำเร็จ","การสร้างบ้าน, การลงทุนในอสังหาริมทรัพย์, การสร้างธุรกิจที่มั่นคง","อาจดื้อรั้น, ขาดความยืดหยุ่น, การทำงานหนักเกินไป","หลงอำนาจ, ความโลภ, ขาดความสมดุลชีวิต"
555,"การเปลี่ยนแปลงครั้งใหญ่, อิสระที่สมบูรณ์, การผจญภัย: การเปลี่ยนแปลงที่รวดเร็ว, การเดินทางไกล, การเรียนรู้จากประสบการณ์ใหม่ๆ","การย้ายงาน, การย้ายที่อยู่, การเริ่มต้นชีวิตใหม่, การผจญภัย","ความไม่แน่นอนสูง, การขาดความรับผิดชอบ, การเสี่ยงมากเกินไป","เสียสละมากเกินไป, ละเลยตนเอง, งมงาย"
666,"ความรับผิดชอบที่หนักอึ้ง, ความสมดุลที่ท้าทาย, การเรียนรู้จากความหลงผิด: การเผชิญหน้ากับความท้าทาย, การเรียนรู้ที่จะรับผิดชอบ, การปรับสมดุล","การจัดการปัญหาที่ซับซ้อน, การเรียนรู้ที่จะไม่หลงผิด, การค้นหาความสมดุลในชีวิต","ข้อควรระวัง: ความกดดันสูง, ความวิตกกังวล, การแบกรับภาระมากเกินไป",ระวังความขัดแย้งในการสื่อสารช่วงแรก
777,"ปัญญาที่สูงส่ง, การค้นพบความจริง, การตื่นรู้ทางจิตวิญญาณ: การได้รับข้อมูลเชิงลึก, การค้นพบความจริง, การพัฒนาจิตวิญญาณขั้นสูง,ดวงดีเรื่องอสังหาฯ","การศึกษาค้นคว้า, การทำสมาธิ, การเดินทางเพื่อแสวงหาความจริง","การเก็บตัวมากเกินไป, การแยกตัวจากสังคม, ความโดดเดี่ยว,การสูญเสียความสัมพันธ์","ระวังการใช้อารมณ์, ตัดสินใจรวดเร็วเกินไป"
888,"ความมั่งคั่งที่ยิ่งใหญ่, อำนาจที่สมบูรณ์, ความสำเร็จทางการเงิน: การได้รับความมั่งคั่ง, ความสำเร็จทางธุรกิจ, การจัดการการเงินที่มีประสิทธิภาพ","การลงทุนที่ประสบความสำเร็จ, การสร้างธุรกิจขนาดใหญ่, การเป็นผู้บริหาร","การหลงอำนาจ, ความโลภ, การทำงานหนักเกินไป, การขาดความสมดุล","ท้าทายในการปรับตัว, ต้องใช้วินัยและความอดทน"
999,"ความสมบูรณ์, การสิ้นสุด, การเริ่มต้นใหม่, มนุษยธรรมที่สมบูรณ์: การบรรลุเป้าหมายสูงสุด, การจบสิ้นวัฏจักร, การเริ่มต้นสิ่งใหม่เพื่อสังคม","การจบโครงการใหญ่, การเกษียณอายุ, การทำงานเพื่อสังคม, การทำบุญ","การเสียสละมากเกินไป, การละเลยตนเอง, การแบกรับภาระผู้อื่นมากเกินไป,งมงาย,เพ้อฝันในอุดมคติ","ระวังความโลภ, การเก็บตัวมากเกินไป"
